PQGram,Count
"{reportSum}|var:userDef|var:userDef|*",8
sprite:userDef|script|{receiveMessage}|literal:userDef|*|*,30
"{script}|*|receiveMessage|hide",3
"{script}|show|doSayFor|doBroadcast",1
script|doUntil|{reportEquals}|*|getLastAnswer|reportSum|*,5
doIf|script|{doChangeVar}|*|*|varMenu:userDef,9
doUntil|script|{doAsk}|reportJoinWords|*|*|*,6
"{script}|doAsk|doIf",3
sprite:userDef|script|{receiveMessage}|literal:userDef|*,7
"{doForever}|script|*|*|*",2
reportJoinWords|{list}|literal:userDef|var:userDef|*,5
"{script}|setHeading|gotoXY|*",1
doIf|{script}|doBroadcast|*|*,2
"{reportSum}|var:userDef|*|*|*",10
script|doGlide|{literal:userDef}|*|*|*|*,1
script|doSetVar|{reportRandom}|literal:userDef,2
sprite:userDef|{script}|receiveGo,5
sprite:userDef|script|{doSwitchToCostume}|*|literal:userDef|*,5
script|{gotoXY}|*|literal:userDef,7
stage:userDef|sprite:userDef|{script}|doTellTo|show|doSayFor|doBroadcast,1
reportJoinWords|{list}|*|*|var:userDef,1
"{script}|gotoXY|*|*|*",3
"{reportEquals}|getLastAnswer|reportSum|*",15
script|{doIf}|*|reportEquals|script|*,7
script|doIf|{reportNot}|reportEquals|*,4
script|doIf|{script}|*|doBroadcastAndWait,1
script|{doChangeVar}|varMenu:userDef|literal:userDef,8
"{doSetVar}|*|*|*|varMenu:userDef",13
stage:userDef|sprite:userDef|{script}|changeScale,3
sprite:userDef|{script}|doSwitchToCostume|setHeading,1
script|{doChangeVar}|*|*|varMenu:userDef|literal:userDef,9
stage:userDef|sprite:userDef|{script}|receiveMessage|hide,1
"{sprite:userDef}|script",20
sprite:userDef|{script}|*|receiveMessage,5
"{doChangeVar}|*|*|*|varMenu:userDef",12
"{script}|doSwitchToCostume|doSetVar|doSetVar",2
"{script}|doStopThis|gotoXY|setHeading",1
sprite:userDef|script|{doSayFor}|*|*|*|literal:userDef,13
script|doBroadcast|{literal:userDef}|*|*,1
script|{receiveMessage}|*|literal:userDef,31
"{receiveMessage}|*|literal:userDef",12
script|{doSayFor}|literal:userDef|literal:userDef,15
"{script}|show",4
script|{doSetVar}|varMenu:userDef|reportRandom|*|*,2
reportEquals|{reportSum}|*|*|var:userDef|var:userDef,5
"{script}|doSayFor|doBroadcast|*|*",2
"{script}|hide",2
stage:userDef|sprite:userDef|{script}|*|*|receiveMessage|show,9
list|{reportJoinWords}|*|*|list,1
sprite:userDef|{script}|receiveMessage,18
doIf|reportEquals|{var:userDef}|*,1
"{receiveInteraction}|*|literal:userDef",1
"{reportEquals}|getLastAnswer",8
script|doIf|{reportNot}|reportEquals|*|*,4
script|{doSetVar}|*|*|*|varMenu:userDef,12
doIf|reportAnd|{reportLessThan}|*|var:userDef|literal:userDef|*,1
reportEquals|{reportSum}|var:userDef|var:userDef|*,15
"{receiveMessage}|*|literal:userDef",32
doIf|script|{doBroadcast}|*|literal:userDef|*,7
doIf|script|{doChangeVar}|varMenu:userDef|literal:userDef|*,8
reportJoinWords|{list}|*|*|literal:userDef|var:userDef,4
doUntil|{reportEquals}|reportSum,3
stage:userDef|sprite:userDef|{script}|receiveMessage,25
sprite:userDef|{script}|receiveMessage|show|*,1
sprite:userDef|script|{gotoXY}|literal:userDef|*|*,8
script|{doSetVar}|*|varMenu:userDef|reportRandom,1
"*|snapshot|{stage:userDef}|*|*|script|script",1
"{script}|*|*|doBroadcast",2
"{script}|doWait|gotoXY",1
script|doForever|{script}|doIf,1
"{script}|receiveGo|hide|setScale|doSwitchToCostume",1
stage:userDef|{sprite:userDef}|script,21
"{receiveMessage}|literal:userDef",18
script|{doIf}|*|*|*|reportEquals,6
script|{doSwitchToCostume}|*|*|*|literal:userDef,1
stage:userDef|{sprite:userDef}|script|script|script|script,21
doUntil|script|{doIf}|*|*|reportNot,5
stage:userDef|sprite:userDef|{script}|doUntil|doIf,6
"{reportSum}|var:userDef",5
script|{doTellTo}|literal:userDef|reifyScript|list,3
stage:userDef|script|{doSwitchToCostume}|literal:userDef|*|*,3
"{doBroadcast}|*|literal:userDef",7
"{doTellTo}|*|literal:userDef",2
"{doSetVar}|literal:userDef|*",3
script|{doIf}|*|*|reportEquals,3
"{doHideVar}|*|varMenu:userDef|*|*",3
"{script}|*|receiveMessage|doStopThis|gotoXY",1
sprite:userDef|script|{doSwitchToCostume}|literal:userDef|*|*|*,8
"{doSwitchToCostume}|literal:userDef|*|*|*",8
script|{doIf}|script|*,13
sprite:userDef|script|{doSayFor}|literal:userDef,1
snapshot|stage:userDef|{sprite:userDef}|script|script|script|script,2
"{gotoXY}|literal:userDef",12
doRepeat|script|{doWait}|*|literal:userDef|*,2
reportLessThan|{var:userDef}|*,1
"{script}|doSayFor",1
sprite:userDef|{script}|gotoXY|show,2
sprite:userDef|{script}|changeScale|doRepeat|changeScale|doGlide,1
sprite:userDef|{script}|doWait|doSayFor,3
"{reportEquals}|*|getLastAnswer|reportSum|*",11
script|{doIf}|script,7
stage:userDef|{sprite:userDef}|script,41
script|{doBroadcast}|*|*|literal:userDef|*,14
stage:userDef|{script}|receiveMessage|doSwitchToCostume|*,3
stage:userDef|sprite:userDef|{script}|doSayFor|doBroadcast|*|*,1
"{doWait}|*|*|*|literal:userDef",7
doUntil|script|{doAsk}|reportJoinWords|*,1
"{script}|hide|changeScale",1
"{doWait}|*|literal:userDef",4
stage:userDef|script|{receiveKey}|*|literal:userDef|*|*,1
doIf|script|{doBroadcast}|literal:userDef|*|*,2
"{doSwitchToCostume}|literal:userDef",18
"{list}|*|*|var:userDef|reportJoinWords",2
stage:userDef|sprite:userDef|{script}|*|receiveMessage,3
stage:userDef|sprite:userDef|{script}|hide|*,12
stage:userDef|script|{receiveMessage}|*|*|literal:userDef,2
"{script}|receiveMessage|gotoXY|show",1
script|{doSwitchToCostume}|literal:userDef|*|*,6
"{script}|doSwitchToCostume|doWait|gotoXY",1
sprite:userDef|script|{doStopThis}|*|*|literal:userDef,2
list|{reportJoinWords}|*|list|*,4
sprite:userDef|script|{doBroadcast}|*|*|*|literal:userDef,2
"{receiveKey}|*|*|*|literal:userDef",2
doForever|script|{doIf}|script|*|*|*,4
"{changeScale}|*|literal:userDef|*|*",2
doIf|{reportEquals}|getLastAnswer|reportSum,4
"{reifyScript}|list|script|*",1
sprite:userDef|{script}|doUntil,4
"{doAsk}|reportJoinWords|*|*",2
reportNot|{reportEquals}|getLastAnswer,4
"{doIf}|*|reportAnd",2
stage:userDef|{script}|receiveKey|doForever|*,1
script|{doSwitchToCostume}|literal:userDef,18
reportNot|{reportEquals}|reportSum|*|*|*,2
doUntil|script|{doAsk}|reportJoinWords,6
doForever|script|{doIf}|*|reportEquals|script|*,1
script|doAsk|{reportJoinWords}|list|*,2
doIf|reportNot|{reportEquals}|reportSum|*|*,1
reportJoinWords|{list}|var:userDef|*,5
"{doWait}|*|literal:userDef|*",4
"{doIf}|*|*|reportEquals",6
stage:userDef|sprite:userDef|{script}|receiveMessage|hide,4
"{setScale}|*|literal:userDef|*|*",3
stage:userDef|script|{doSwitchToCostume}|*|literal:userDef|*,8
"{script}|receiveKey|doShowVar",1
"{doIf}|*|reportEquals",6
snapshot|stage:userDef|{sprite:userDef}|script,17
reifyScript|script|{doSwitchToCostume}|*|*|*|literal:userDef,2
"{reportRandom}|literal:userDef",8
script|{receiveKey}|*|*|literal:userDef|*,1
script|doIf|{script}|doBroadcast|doHideVar|doHideVar|doStopThis,1
stage:userDef|sprite:userDef|{script}|receiveMessage|hide|*,8
script|{doSwitchToCostume}|literal:userDef|*,5
"{doSwitchToCostume}|*|literal:userDef",4
script|{doSwitchToCostume}|literal:userDef|*|*,3
"{show}|*|*|*|*",1
stage:userDef|sprite:userDef|{script}|*|*|receiveMessage,23
sprite:userDef|script|{gotoXY}|*|*|literal:userDef|literal:userDef,3
snapshot|stage:userDef|{script}|*|*|receiveMessage|doSwitchToCostume,1
