,,,,,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128320d50>,1,1,100,0.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128320dd0>,3,1,100,0.0,,,,,,,,,,,,,,,,,,,,,,,0.37499999999999994,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128320dd0>,3,1,100,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128320dd0>,3,1,100,0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128320dd0>,3,1,100,0.3,,,,,,,,,,,,,,,,,,,,,,,0.37499999999999994,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128320dd0>,3,1,100,0.4,,,,,,,,,,,,,,,,,,,,,,,0.0,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128320dd0>,3,1,100,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282a5f10>,1,2,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282a5f10>,1,2,100,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.2,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282a5f10>,1,2,100,0.2,,,,,,,,,,,,,,,,,,,,,,,,0.0,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282a5f10>,1,2,100,0.3,,,,,,,,,,,,,,,,,,,,,,,,0.0,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282a5f10>,1,2,100,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.0,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282a5f10>,1,2,100,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.0,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282a5f90>,2,1,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.2105263157894737
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282a5f90>,2,1,100,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.5
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282a5f90>,2,1,100,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282a5f90>,2,1,100,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0.12500000000000003
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282a5f90>,2,1,100,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.30769230769230765
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282a5f90>,2,1,100,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0
