name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.43: [script, setEffect, {literal:userDef}, *]",165,0.4294117647058823,0.31155778894472363,-1.0,-1.0,-1.0
"0.24: [script, setVolume, {literal:userDef}, *]",166,0.23529411764705882,0.15577889447236182,-1.0,-1.0,-1.0
"0.87: [script, doSetVar, {literal:userDef}, *]",167,0.8705882352941177,0.5829145728643216,-1.0,-1.0,-1.0
"0.45: [script, changeEffect, {literal:userDef}, *]",168,0.4470588235294118,0.3869346733668342,-1.0,-1.0,-1.0
"0.24: [reportOr, reportLessThan, {literal:userDef}, *]",169,0.23529411764705882,0.135678391959799,-1.0,-1.0,-1.0
"0.22: [script, doBroadcastAndWait, {literal:userDef}, *]",170,0.2235294117647059,0.135678391959799,-1.0,-1.0,-1.0
"0.26: [reportAnd, reportLessThan, {literal:userDef}, *]",171,0.25882352941176473,0.1407035175879397,-1.0,-1.0,-1.0
"0.61: [script, doRepeat, {literal:userDef}, *]",172,0.611764705882353,0.5477386934673367,-1.0,-1.0,-1.0
"0.10: [reportOr, reportTouchingColor, {literal:userDef}, *]",173,0.1,0,-1.0,-1.0,-1.0
"0.31: [doSetVar, reportProduct, {literal:userDef}, *]",174,0.31176470588235294,0.10050251256281408,-1.0,-1.0,-1.0
"0.11: [setHeading, reportRandom, {literal:userDef}, *]",175,0.11176470588235295,0,-1.0,-1.0,-1.0
"0.84: [script, doChangeVar, {literal:userDef}, *]",176,0.8411764705882353,0.542713567839196,-1.0,-1.0,-1.0
"0.56: [script, setHeading, {literal:userDef}, *]",177,0.5647058823529412,0.38190954773869346,-1.0,-1.0,-1.0
"0.18: [reportAnd, reportTouchingObject, {literal:userDef}, *]",178,0.18235294117647058,0,-1.0,-1.0,-1.0
"0.63: [script, changeXPosition, {literal:userDef}, *]",179,0.6294117647058823,0.24623115577889448,-1.0,-1.0,-1.0
"0.72: [doIf, reportTouchingObject, {literal:userDef}, *]",180,0.7176470588235294,0.2914572864321608,-1.0,-1.0,-1.0
"0.29: [script, changeScale, {literal:userDef}, *]",181,0.29411764705882354,0.27638190954773867,-1.0,-1.0,-1.0
"0.22: [doWait, reportRandom, {literal:userDef}, *]",182,0.21764705882352942,0.11055276381909548,-1.0,-1.0,-1.0
"0.76: [script, changeYPosition, {literal:userDef}, *]",183,0.7647058823529411,0.22613065326633167,-1.0,-1.0,-1.0
"0.46: [doIf, reportLessThan, {literal:userDef}, *]",184,0.4647058823529412,0.25125628140703515,-1.0,-1.0,-1.0
"0.32: [script, turn, {literal:userDef}, *]",185,0.3235294117647059,0.2562814070351759,-1.0,-1.0,-1.0
"0.69: [script, doBroadcast, {literal:userDef}, *]",186,0.6882352941176471,0.5728643216080402,-1.0,-1.0,-1.0
"0.21: [reportNot, reportEquals, {literal:userDef}, *]",187,0.21176470588235294,0.1306532663316583,-1.0,-1.0,-1.0
"0.34: [doIfElse, reportEquals, {literal:userDef}, *]",188,0.3411764705882353,0.3015075376884422,-1.0,-1.0,-1.0
"0.26: [changeYPosition, reportProduct, {literal:userDef}, *]",189,0.2647058823529412,0,-1.0,-1.0,-1.0
"0.61: [stage:Stage, script, {receiveGo}, *]",190,0.611764705882353,0.5226130653266332,-1.0,-1.0,-1.0
"0.98: [sprite:userDef, script, {receiveGo}, *]",191,0.9823529411764705,0.949748743718593,-1.0,-1.0,-1.0
"0.48: [sprite:userDef, script, {receiveOnClone}, *]",192,0.4764705882352941,0.3065326633165829,-1.0,-1.0,-1.0
"0.30: [doIf, script, {removeClone}, *]",193,0.3,0.1658291457286432,-1.0,-1.0,-1.0
"0.38: [sprite:userDef, script, {removeClone}, *]",194,0.3764705882352941,0.24120603015075376,-1.0,-1.0,-1.0
"0.11: [doIfElse, script, {removeClone}, *]",195,0.11176470588235295,0,-1.0,-1.0,-1.0
"0.16: [script, doIfElse, {script}, *]",196,0.16470588235294117,0.12562814070351758,-1.0,-1.0,-1.0
"0.45: [snapshot, customBlock:userDef, {script}, *]",197,0.4470588235294118,0.4221105527638191,-1.0,-1.0,-1.0
"0.10: [script, doIf, {script}, *]",198,0.1,0,-1.0,-1.0,-1.0
"0.84: [sprite:userDef, script, {show}, *]",199,0.8352941176470589,0.7035175879396985,-1.0,-1.0,-1.0
"0.32: [doIf, script, {show}, *]",200,0.3176470588235294,0.15577889447236182,-1.0,-1.0,-1.0
"0.19: [doForever, script, {show}, *]",201,0.18823529411764706,0,-1.0,-1.0,-1.0
"0.26: [doIfElse, script, {show}, *]",202,0.2647058823529412,0.12562814070351758,-1.0,-1.0,-1.0
"0.16: [snapshot, stage:Stage, {sprite:userDef}, *]",203,0.1588235294117647,0.17587939698492464,-1.0,-1.0,-1.0
"0.18: [reportOr, reportLessThan, {var:userDef}, *]",204,0.18235294117647058,0,-1.0,-1.0,-1.0
"0.14: [script, doChangeVar, {var:userDef}, *]",205,0.13529411764705881,0.10552763819095477,-1.0,-1.0,-1.0
"0.16: [script, gotoXY, {var:userDef}, *]",206,0.16470588235294117,0,-1.0,-1.0,-1.0
"0.45: [script, changeXPosition, {var:userDef}, *]",207,0.4470588235294118,0,-1.0,-1.0,-1.0
"0.32: [doSetVar, reportProduct, {var:userDef}, *]",208,0.3235294117647059,0,-1.0,-1.0,-1.0
"0.17: [reportNot, reportEquals, {var:userDef}, *]",209,0.17058823529411765,0.10552763819095477,-1.0,-1.0,-1.0
"0.17: [reportAnd, reportLessThan, {var:userDef}, *]",210,0.17058823529411765,0,-1.0,-1.0,-1.0
"0.35: [doIf, reportLessThan, {var:userDef}, *]",211,0.34705882352941175,0.24623115577889448,-1.0,-1.0,-1.0
"0.44: [script, changeYPosition, {var:userDef}, *]",212,0.4411764705882353,0.10050251256281408,-1.0,-1.0,-1.0
"0.28: [doIfElse, reportEquals, {var:userDef}, *]",213,0.2823529411764706,0.21105527638190955,-1.0,-1.0,-1.0
"0.24: [changeYPosition, reportProduct, {var:userDef}, *]",214,0.2411764705882353,0,-1.0,-1.0,-1.0
"0.24: [doUntil, reportEquals, {var:userDef}, *]",215,0.2411764705882353,0.1407035175879397,-1.0,-1.0,-1.0
"0.14: [doWaitUntil, reportEquals, {var:userDef}, *]",216,0.1411764705882353,0.10552763819095477,-1.0,-1.0,-1.0
"0.25: [changeXPosition, reportProduct, {var:userDef}, *]",217,0.2529411764705882,0,-1.0,-1.0,-1.0
"0.11: [script, doDeleteFromList, {var:userDef}, *]",218,0.11176470588235295,0.12060301507537688,-1.0,-1.0,-1.0
"0.26: [reportOr, reportEquals, {var:userDef}, *]",219,0.2647058823529412,0.1306532663316583,-1.0,-1.0,-1.0
"0.25: [script, doSwitchToCostume, {var:userDef}, *]",220,0.2529411764705882,0,-1.0,-1.0,-1.0
